Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Live - 2,CHFJPY, , , , , , , ,Symbol ignored: *
Live - 2,CHFJPY`, , , , , , , ,Symbol ignored: *
Live - 2,CHFJPYq, , , , , , , ,Symbol ignored: *
Live - 2,CHFSGD`, , , , , , , ,Symbol ignored: *
Live - 2,CHFSGD, , , , , , , ,Symbol ignored: *
Live - 2,CHFSGDq, , , , , , , ,Symbol ignored: *
Live - 2,EURAUD, , , , , , , ,Symbol ignored: *
Live - 2,EURAUD`, , , , , , , ,Symbol ignored: *
Live - 2,EURAUDq, , , , , , , ,Symbol ignored: *
Live - 2,EURCAD, , , , , , , ,Symbol ignored: *
Live - 2,EURCAD`, , , , , , , ,Symbol ignored: *
Live - 2,EURCADq, , , , , , , ,Symbol ignored: *
Live - 2,EURCHF, , , , , , , ,Symbol ignored: *
Live - 2,EURCHF`, , , , , , , ,Symbol ignored: *
Live - 2,EURCHFq, , , , , , , ,Symbol ignored: *
Live - 2,EURGBP`, , , , , , , ,Symbol ignored: *
Live - 2,EURGBP, , , , , , , ,Symbol ignored: *
Live - 2,EURGBPq, , , , , , , ,Symbol ignored: *
Live - 2,EURHKDq, , , , , , , ,Symbol ignored: *
Live - 2,EURJPY, , , , , , , ,Symbol ignored: *
Live - 2,EURJPY`, , , , , , , ,Symbol ignored: *
Live - 2,EURJPYq, , , , , , , ,Symbol ignored: *
Live - 2,EURNZD, , , , , , , ,Symbol ignored: *
Live - 2,EURNZD`, , , , , , , ,Symbol ignored: *
Live - 2,EURNZDq, , , , , , , ,Symbol ignored: *
Live - 2,EURSGD, , , , , , , ,Symbol ignored: *
Live - 2,EURSGD`, , , , , , , ,Symbol ignored: *
Live - 2,EURSGDq, , , , , , , ,Symbol ignored: *
Live - 2,EURUSD, , , , , , , ,Symbol ignored: *
Live - 2,EURUSD`, , , , , , , ,Symbol ignored: *
Live - 2,EURUSDq, , , , , , , ,Symbol ignored: *
Live - 2,GBPAUD, , , , , , , ,Symbol ignored: *
Live - 2,GBPAUD`, , , , , , , ,Symbol ignored: *
Live - 2,GBPAUDq, , , , , , , ,Symbol ignored: *
Live - 2,GBPCAD, , , , , , , ,Symbol ignored: *
Live - 2,GBPCADq, , , , , , , ,Symbol ignored: *
Live - 2,GBPCAD`, , , , , , , ,Symbol ignored: *
Live - 2,GBPCHF, , , , , , , ,Symbol ignored: *
Live - 2,GBPCHF`, , , , , , , ,Symbol ignored: *
Live - 2,GBPCHFq, , , , , , , ,Symbol ignored: *
